country,year,iso_code,energy_per_capita,fossil_share_energy,coal_share_energy,gas_share_energy,oil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,biofuel_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,log_gdp_per_capita,log_population,log_ghg_per_capita
Algeria,1965,DZA,2008.151,95.513,3.288,30.009,62.216,4.487,4.487,0.0,0.0,4.487,0.0,0.0,5.539784194414009,16.330455587534757,5.248535617225034e-07
Algeria,1966,DZA,2369.538,96.687,2.657,25.931,68.1,3.313,3.313,0.0,0.0,3.313,0.0,0.0,5.490795050473209,16.34841515343759,5.248535617225034e-07
Algeria,1967,DZA,2193.791,95.958,2.147,26.579,67.232,4.042,4.042,0.0,0.0,4.042,0.0,0.0,5.571368395544789,16.370881030193562,5.248535617225034e-07
Algeria,1968,DZA,2303.651,94.829,2.115,26.032,66.682,5.171,5.171,0.0,0.0,5.171,0.0,0.0,5.681663691304252,16.39364658782998,5.248535617225034e-07
Algeria,1969,DZA,2488.824,97.004,2.432,30.924,63.648,2.996,2.996,0.0,0.0,2.996,0.0,0.0,5.758635397731326,16.416415095424153,5.248535617225034e-07
Algeria,1970,DZA,2666.842,95.605,2.633,26.547,66.424,4.395,4.395,0.0,0.0,4.395,0.0,0.0,5.868863951937701,16.438995914147874,5.248535617225034e-07
Algeria,1971,DZA,2818.154,97.689,0.674,27.851,69.164,2.311,2.311,0.0,0.0,2.311,0.0,0.0,5.8891887994598,16.46160677070042,5.248535617225034e-07
Algeria,1972,DZA,3094.737,96.914,0.522,28.793,67.599,3.086,3.086,0.0,0.0,3.086,0.0,0.0,6.152801824223613,16.48461388041711,5.248535617225034e-07
Algeria,1973,DZA,3605.058,96.067,0.504,33.623,61.941,3.933,3.933,0.0,0.0,3.933,0.0,0.0,6.381003374095736,16.508183330121437,5.248535617225034e-07
Algeria,1974,DZA,3892.628,97.653,0.376,35.149,62.128,2.347,2.347,0.0,0.0,2.347,0.0,0.0,6.772956322899403,16.5324189425887,5.248535617225034e-07
Algeria,1975,DZA,4488.278,98.704,0.397,40.52,57.787,1.296,1.296,0.0,0.0,1.296,0.0,0.0,6.9010377790440876,16.56780409412071,5.248535617225034e-07
Algeria,1976,DZA,5003.443,98.683,0.666,41.066,56.95,1.317,1.317,0.0,0.0,1.317,0.0,0.0,6.986001822600849,16.613348140499006,5.248535617225034e-07
Algeria,1977,DZA,5301.653,99.171,0.787,39.818,58.567,0.829,0.829,0.0,0.0,0.829,0.0,0.0,7.117609393979828,16.649661168531328,5.248535617225034e-07
Algeria,1978,DZA,6475.234,99.387,0.318,50.878,48.191,0.613,0.613,0.0,0.0,0.613,0.0,0.0,7.317840312202879,16.678107474746906,5.248535617225034e-07
Algeria,1979,DZA,8235.484,99.456,0.564,54.903,43.989,0.544,0.544,0.0,0.0,0.544,0.0,0.0,7.5197597003777155,16.70791408375479,5.248535617225034e-07
Algeria,1980,DZA,9520.169,99.597,0.42,61.795,37.382,0.403,0.403,0.0,0.0,0.403,0.0,0.0,7.730520109760936,16.739055022363363,5.248535617225034e-07
Algeria,1981,DZA,11195.568,99.527,0.243,66.129,33.155,0.473,0.473,0.0,0.0,0.473,0.0,0.0,7.74428397658191,16.77149614406475,5.248535617225034e-07
Algeria,1982,DZA,12485.321,99.464,3.915,65.078,30.47,0.536,0.536,0.0,0.0,0.536,0.0,0.0,7.730123307912238,16.804837712468796,5.248535617225034e-07
Algeria,1983,DZA,13180.546,99.759,3.198,65.227,31.334,0.241,0.241,0.0,0.0,0.241,0.0,0.0,7.77268092758255,16.838764511691206,5.248535617225034e-07
Algeria,1984,DZA,12231.915,99.517,3.693,59.686,36.139,0.483,0.483,0.0,0.0,0.483,0.0,0.0,7.83414988068655,16.872898027992516,5.248535617225034e-07
Algeria,1985,DZA,11917.971,99.316,3.824,58.665,36.827,0.684,0.684,0.0,0.0,0.684,0.0,0.0,7.876077898198056,16.90693898228076,5.248535617225034e-07
Algeria,1986,DZA,12199.825,99.75,3.71,60.71,35.33,0.25,0.25,0.0,0.0,0.25,0.0,0.0,7.9378061642111675,16.9398758592179,5.248535617225034e-07
Algeria,1987,DZA,12164.016,99.514,4.316,60.435,34.763,0.486,0.486,0.0,0.0,0.486,0.0,0.0,7.954401377193432,16.970107326697615,5.248535617225034e-07
Algeria,1988,DZA,12668.118,99.834,3.789,63.57,32.474,0.166,0.166,0.0,0.0,0.166,0.0,0.0,7.8046093795144325,16.99811593097531,5.248535617225034e-07
Algeria,1989,DZA,12000.606,99.789,3.293,61.504,34.992,0.211,0.211,0.0,0.0,0.211,0.0,0.0,7.718002754098318,17.024515465225992,5.248535617225034e-07
Algeria,1990,DZA,12412.387,99.881,2.433,61.946,35.501,0.119,0.119,0.0,0.0,0.119,0.0,0.0,7.802286272285402,17.049304945616626,5.248535617225034e-07
Algeria,1991,DZA,12009.251,99.739,2.534,61.752,35.453,0.261,0.261,0.0,0.0,0.261,0.0,0.0,7.473134154665567,17.073141295209723,5.248535617225034e-07
Algeria,1992,DZA,12025.711,99.827,2.935,62.134,34.758,0.173,0.173,0.0,0.0,0.173,0.0,0.0,7.497593389843039,17.097493342274394,5.248535617225034e-07
Algeria,1993,DZA,10924.772,99.671,2.569,59.928,37.175,0.329,0.329,0.0,0.0,0.329,0.0,0.0,7.5131916564199255,17.121554304235055,5.248535617225034e-07
Algeria,1994,DZA,10826.502,99.847,2.388,62.33,35.129,0.153,0.153,0.0,0.0,0.153,0.0,0.0,7.330761283572228,17.14367936420158,5.248535617225034e-07
Algeria,1995,DZA,10999.059,99.829,2.303,64.585,32.941,0.171,0.171,0.0,0.0,0.171,0.0,0.0,7.291622201178841,17.164366833317757,5.248535617225034e-07
Algeria,1996,DZA,10674.914,99.879,1.096,67.024,31.759,0.121,0.121,0.0,0.0,0.121,0.0,0.0,7.388843904700456,17.183943568701757,5.248535617225034e-07
Algeria,1997,DZA,10069.89,99.93,1.999,65.148,32.783,0.07,0.07,0.0,0.0,0.07,0.0,0.0,7.3961904176376265,17.202583659955913,5.248535617225034e-07
Algeria,1998,DZA,10259.799,99.806,2.067,65.091,32.649,0.194,0.194,0.0,0.0,0.194,0.0,0.0,7.380485250399287,17.218509615633057,5.248535617225034e-07
Algeria,1999,DZA,10219.563,99.819,2.192,65.867,31.759,0.181,0.181,0.0,0.0,0.181,0.0,0.0,7.375957550617177,17.23239469000942,5.248535617225034e-07
Algeria,2000,DZA,9705.77,99.95,1.881,63.685,34.385,0.05,0.05,0.0,0.0,0.05,0.0,0.0,7.4809533560864345,17.246391361934286,5.248535617225034e-07
Algeria,2001,DZA,9920.246,99.939,2.095,63.488,34.355,0.061,0.061,0.0,0.0,0.061,0.0,0.0,7.54818874312261,17.26012413429781,5.422712834085676e-07
Algeria,2002,DZA,10139.921,99.951,2.655,60.52,36.776,0.049,0.049,0.0,0.0,0.049,0.0,0.0,7.569652661310477,17.273428196378468,5.555765730495234e-07
Algeria,2003,DZA,10471.302,99.786,2.092,61.13,36.564,0.214,0.214,0.0,0.0,0.214,0.0,0.0,7.734023691663922,17.286724025229006,5.827366120138753e-07
Algeria,2004,DZA,10720.097,99.806,2.404,60.589,36.813,0.194,0.194,0.0,0.0,0.194,0.0,0.0,7.9437821336997665,17.300688545131212,6.077556812256131e-07
Algeria,2005,DZA,11062.527,99.592,1.887,61.053,36.653,0.408,0.408,0.0,0.0,0.408,0.0,0.0,8.081517434743603,17.31532210978386,6.445334237300038e-07
Algeria,2006,DZA,11278.437,99.847,2.705,60.261,36.881,0.153,0.153,0.0,0.0,0.153,0.0,0.0,8.205673558994878,17.330734595580953,6.662013131530019e-07
Algeria,2007,DZA,11689.005,99.85,2.203,58.51,39.136,0.15,0.15,0.0,0.0,0.15,0.0,0.0,8.335301149646476,17.347425510498365,6.917351317546169e-07
Algeria,2008,DZA,12165.264,99.824,2.079,57.624,40.121,0.176,0.176,0.0,0.0,0.176,0.0,0.0,8.552932101386133,17.365613832429286,7.341257207955271e-07
Algeria,2009,DZA,12647.346,99.8,1.259,58.404,40.137,0.2,0.2,0.0,0.0,0.2,0.0,0.0,8.35147748572016,17.384772795339664,6.883549433114384e-07
Algeria,2010,DZA,12130.888,99.892,0.821,57.698,41.373,0.108,0.108,0.0,0.0,0.103,0.005,0.0,8.499801189205984,17.40424346337319,8.049583763616271e-07
Algeria,2011,DZA,12586.623,99.779,0.689,57.7,41.391,0.221,0.221,0.0,0.0,0.211,0.01,0.0,8.68563914895384,17.423812321743632,8.79053123386607e-07
Algeria,2012,DZA,13485.37,99.789,0.669,58.853,40.267,0.211,0.211,0.0,0.0,0.198,0.014,0.0,8.705274167442479,17.443740479013993,9.647735936589045e-07
Algeria,2013,DZA,13978.626,99.939,0.342,59.822,39.775,0.061,0.061,0.0,0.0,0.047,0.014,0.0,8.696277371737523,17.463936048784486,9.915616245757873e-07
Algeria,2014,DZA,14937.212,99.89,0.356,61.635,37.899,0.11,0.11,0.0,0.0,0.084,0.026,0.0,8.715338881256443,17.484314669098488,1.0442542272198317e-06
Algeria,2015,DZA,15430.442,99.909,0.25,61.415,38.244,0.091,0.091,0.0,0.0,0.059,0.024,0.008,8.452348614527015,17.5048767436052,1.0964656117172977e-06
Algeria,2016,DZA,15103.688,99.863,0.092,62.561,37.21,0.137,0.137,0.0,0.0,0.029,0.1,0.008,8.3952493718701,17.52543387852218,1.1067131007304327e-06
Algeria,2017,DZA,14962.958,99.768,0.339,63.271,36.157,0.232,0.232,0.0,0.0,0.022,0.202,0.008,8.424128261211969,17.545754147613465,1.1571318592091364e-06
Algeria,2018,DZA,15753.915,99.729,0.869,64.837,34.023,0.271,0.271,0.0,0.0,0.043,0.224,0.004,8.42906484604799,17.56513170939398,1.1424538483136584e-06
Algeria,2019,DZA,16037.807,99.723,0.692,64.899,34.132,0.277,0.277,0.0,0.0,0.054,0.219,0.004,8.405022395440863,17.58353625651016,1.192760411245102e-06
Algeria,2020,DZA,14733.622,99.717,0.235,66.818,32.665,0.283,0.283,0.0,0.0,0.019,0.261,0.003,8.22805571431195,17.600655235682986,1.1400464247136038e-06
Algeria,2021,DZA,15808.997,99.762,0.439,68.059,31.265,0.238,0.238,0.0,0.0,0.003,0.231,0.004,8.333646179015842,17.616848944259598,1.211543650952265e-06
Algeria,2022,DZA,16145.355,99.772,0.296,68.568,30.908,0.228,0.228,0.0,0.0,0.005,0.217,0.005,8.509424855259663,17.63272473788902,1.2744800892060737e-06
Algeria,2023,DZA,16994.396,99.773,0.268,69.138,30.367,0.227,0.227,0.0,0.0,0.009,0.213,0.005,8.588859322892464,17.64771451403883,1.3218034894505394e-06
Algeria,2024,DZA,16237.208,99.758,0.229,66.508,33.022,0.242,0.242,0.0,0.0,0.016,0.22,0.005,8.657650263555121,17.661698137637494,1.3218034894505394e-06
Argentina,1965,ARG,14857.041,98.963,2.575,12.56,83.829,1.037,1.037,0.0,0.0,1.037,0.0,0.0,7.156828386391981,16.91165759709178,8.499501129870059e-07
Argentina,1966,ARG,15105.417,98.983,2.057,13.175,83.751,1.017,1.017,0.0,0.0,1.017,0.0,0.0,7.151548844352801,16.92697269419012,8.499501129870059e-07
Argentina,1967,ARG,15309.093,98.988,2.248,13.388,83.352,1.012,1.012,0.0,0.0,1.012,0.0,0.0,6.970668897833054,16.942227978960144,8.499501129870059e-07
Argentina,1968,ARG,15586.87,98.846,2.113,14.421,82.312,1.154,1.154,0.0,0.0,1.154,0.0,0.0,7.041371711902394,16.95752862116284,8.499501129870059e-07
Argentina,1969,ARG,15862.684,98.999,2.448,13.901,82.65,1.001,1.001,0.0,0.0,1.001,0.0,0.0,7.193358082011747,16.97288010246934,8.499501129870059e-07
Argentina,1970,ARG,14803.685,98.726,3.319,16.575,78.831,1.274,1.274,0.0,0.0,1.225,0.0,0.0,7.188199035638942,16.988479900852074,8.499501129870059e-07
