country,year,population,gdp,energy_per_capita,coal_cons_per_capita,gas_energy_per_capita,oil_energy_per_capita,fossil_energy_per_capita,fossil_share_energy,renewables_energy_per_capita,low_carbon_energy_per_capita,renewables_share_energy,low_carbon_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,gdp_per_capita,fossil_to_renewables_ratio
Algeria,1965,12365928.0,3136284306.85469,2008.151,65.834,600.885,1245.782,1912.501,95.513,89.853,89.853,4.487,4.487,4.487,0.0,0.0,253.62304445365444,21.284776008761245
Algeria,1966,12590021.0,3039859187.45164,2369.538,62.815,613.125,1610.22,2286.159,96.687,78.325,78.325,3.313,3.313,3.313,0.0,0.0,241.44989015122692,29.188113256455626
Algeria,1967,12876068.0,3370870376.29682,2193.791,46.968,581.563,1471.104,2099.635,95.958,88.45,88.45,4.042,4.042,4.042,0.0,0.0,261.7934587093529,23.738100353441492
Algeria,1968,13172561.0,3852147026.77302,2303.651,48.559,597.701,1531.008,2177.268,94.829,118.723,118.723,5.171,5.171,5.171,0.0,0.0,292.4372129894118,18.339057989277073
Algeria,1969,13475921.0,4257253264.08834,2488.824,60.411,768.162,1581.037,2409.61,97.004,74.413,74.413,2.996,2.996,2.996,0.0,0.0,315.91557000729966,32.38157267706486
Algeria,1970,13783680.0,4863526896.57407,2666.842,70.031,705.971,1766.414,2542.416,95.605,116.885,116.885,4.395,4.395,4.395,0.0,0.0,352.84676491140755,21.751430707520807
Algeria,1971,14098891.0,5077183093.88968,2818.154,18.972,783.714,1946.256,2748.942,97.689,65.017,65.017,2.311,2.311,2.311,0.0,0.0,360.1122310889332,42.28035679467899
Algeria,1972,14427026.0,6766743956.88889,3094.737,16.123,889.312,2087.846,2993.281,96.914,95.307,95.307,3.086,3.086,3.086,0.0,0.0,469.0324919972342,31.406727402953326
Algeria,1973,14771102.0,8707858912.12481,3605.058,18.109,1209.062,2227.345,3454.517,96.067,141.417,141.417,3.933,3.933,3.933,0.0,0.0,589.5199228957196,24.42787624947583
Algeria,1974,15133462.0,13209871625.9044,3892.628,14.601,1366.145,2414.771,3795.517,97.653,91.225,91.225,2.347,2.347,2.347,0.0,0.0,872.891584615893,41.60610532632387
Algeria,1975,15678549.0,15557902754.033,4488.278,17.803,1817.132,2591.481,4426.417,98.704,58.112,58.112,1.296,1.296,1.296,0.0,0.0,992.3050120284091,76.17044541281585
Algeria,1976,16409124.0,17728240932.3158,5003.443,33.311,2052.974,2847.058,4933.343,98.683,65.851,65.851,1.317,1.317,1.317,0.0,0.0,1080.389235422671,74.91675031636953
Algeria,1977,17015940.0,20972113684.9558,5301.653,41.692,2109.86,3103.354,5254.907,99.171,43.913,43.913,0.829,0.829,0.829,0.0,0.0,1232.4980979573152,119.66631476632628
Algeria,1978,17506931.0,26364491313.4471,6475.234,20.594,3293.196,3119.219,6433.008,99.387,39.667,39.667,0.613,0.613,0.613,0.0,0.0,1505.9459201299817,162.17530536276237
Algeria,1979,18036608.0,33243706859.6596,8235.484,46.426,4519.905,3621.447,8187.777,99.456,44.816,44.816,0.544,0.544,0.544,0.0,0.0,1843.1240984812443,182.69762623398728
Algeria,1980,18607122.0,42345829079.2062,9520.169,40.002,5881.417,3557.908,9479.327,99.597,38.366,38.366,0.403,0.403,0.403,0.0,0.0,2275.786071548636,247.07623293863753
Algeria,1981,19220656.0,44348590460.9288,11195.568,27.229,7401.282,3710.751,11139.262,99.527,52.894,52.894,0.473,0.473,0.473,0.0,0.0,2307.3401064421946,210.59594262873026
Algeria,1982,19872306.0,45207167470.3497,12485.321,488.672,8122.422,3802.952,12414.046,99.464,66.955,66.955,0.536,0.536,0.536,0.0,0.0,2274.8828178445774,185.4087941840222
Algeria,1983,20558077.0,48801369800.3675,13180.546,421.457,8595.893,4129.395,13146.744,99.759,31.753,31.753,0.241,0.241,0.241,0.0,0.0,2373.8295075151,414.03154303431035
Algeria,1984,21271910.0,53698548293.0745,12231.915,451.599,7298.416,4419.067,12169.083,99.517,59.024,59.024,0.483,0.483,0.483,0.0,0.0,2524.387715681126,206.1717740889846
Algeria,1985,22008492.0,57937868670.1937,11917.971,455.509,6988.552,4387.116,11831.177,99.316,81.534,81.534,0.684,0.684,0.684,0.0,0.0,2632.5233310030376,145.10727861864646
Algeria,1986,22745453.0,63692007897.3834,12199.825,452.51,7405.326,4309.488,12167.324,99.75,30.531,30.531,0.25,0.25,0.25,0.0,0.0,2800.208371202077,398.5235859119064
