country,iso_code,cluster,energy_per_capita,log_gdp_per_capita,log_population,fossil_share_energy,renewables_share_energy
Algeria,DZA,1,16237.208,8.657650263555121,17.661698137637494,99.75899999999999,0.241
Argentina,ARG,1,21513.967,9.544724596966148,17.63752377565878,82.583,13.958999999999998
Australia,AUS,0,62595.164,11.093990320626885,17.100666623795078,85.267,14.17
Austria,AUT,2,45208.555,10.979094145188624,16.02606434975152,56.653,39.741
Azerbaijan,AZE,1,20137.5,8.880535888322765,16.15119381333656,95.696,4.129
Bangladesh,BGD,1,3048.314,7.86111702629894,18.97204728594037,98.904,1.0879999999999999
Belarus,BLR,1,34632.715,9.034605875074234,16.019010735796165,86.791,0.46
Belgium,BEL,0,54871.137,10.954201699063434,16.278402230012578,76.64,9.870000000000001
Brazil,BRA,2,18486.234,9.24102012651851,19.172089776007613,49.378,44.859
Bulgaria,BGR,0,28381.805,9.727561904075392,15.726185458483728,63.296,13.587
Canada,CAN,0,97784.664,10.941208329493763,17.49792865741292,67.389,26.352999999999998
Chile,CHL,0,26245.322,9.723817919896636,16.79940964470379,67.745,27.579
China,CHN,1,34514.457,9.488515448218669,21.073444587940102,80.259,16.128000000000004
Colombia,COL,1,11645.505,8.977173783113239,17.78365516770886,73.907,25.128999999999998
Croatia,HRV,0,26615.818,10.08560520640692,15.170127960131738,72.222,24.662
Cyprus,CYP,0,24552.008,10.229522220707445,14.12170251071008,89.205,10.280000000000001
Czechia,CZE,0,36589.941,10.383624457269072,16.189095347424317,71.68599999999999,5.341
Denmark,DNK,2,32832.723,11.17075892920739,15.603491397153263,58.278,32.304
Ecuador,ECU,1,12722.124,8.835752823147011,16.71337749006702,74.642,24.671
Estonia,EST,0,40987.723,10.36416235276191,14.123364307252134,82.054,10.155
Finland,FIN,2,59565.18,10.88135767802254,15.541356694767996,36.772,29.089
France,FRA,0,37865.637,10.76831301304494,18.013441262574613,46.136,15.254
Germany,DEU,0,37792.531,10.922652017850938,18.252879546633665,76.031,19.138
Greece,GRC,0,31965.988,10.146552320544917,16.122860978726987,78.946,20.339
Hungary,HUN,0,26952.176,10.044068606555667,16.085168452033,72.181,10.596
Iceland,ISL,2,159696.281,11.345020462869709,12.882470333232003,19.502,51.644
India,IND,1,7812.928,7.89942725870395,21.095474515587636,89.67099999999999,8.530000000000001
Indonesia,IDN,1,10528.603,8.502370142089564,19.46267993595044,89.04599999999999,6.308
Iraq,IRQ,1,16002.375,8.711874229361774,17.645063821185197,99.416,0.5840000000000001
Ireland,IRL,0,34594.289,11.660666589279096,15.474684853428178,77.819,20.782
Israel,ISR,0,29591.479,10.960723181689469,16.054832582751402,90.20500000000001,9.669
Italy,ITA,0,28584.547,10.599651596861946,17.898841559638118,79.07,17.298000000000002
Japan,JPN,0,38745.055,10.390423763083534,18.633798136898573,82.955,9.717
Kazakhstan,KAZ,1,41865.301,9.55787030800036,16.8404385581471,94.87899999999999,5.119
Kuwait,KWT,3,106399.586,10.388135689354458,15.411754410339316,99.924,0.075
Latvia,LVA,0,20722.951,10.05787409981195,14.44242284602868,70.33,25.279
Lithuania,LTU,0,25660.838,10.298406797809944,14.866004506738475,76.586,20.201
Luxembourg,LUX,0,59051.215,11.83937063418182,13.419508038019773,85.72200000000001,10.391
Malaysia,MYS,1,38865.914,9.382227826377092,17.386665346593254,91.719,7.946
Mexico,MEX,1,17653.783,9.56006631535634,18.689645905254828,90.445,7.437
Morocco,MAR,1,7256.858,8.347259117768596,17.455229074180693,91.326,8.674
Netherlands,NLD,0,50824.559,11.107213677208266,16.718507065066355,80.929,15.673
New Zealand,NZL,2,44712.125,10.817791997265315,15.466838502363531,57.446,29.511000000000003
North Macedonia,MKD,0,16220.345,9.137766689110473,14.415974305797134,83.96199999999999,15.365999999999998
Norway,NOR,2,99635.172,11.370429020913171,15.534091443536113,28.189,71.73500000000001
Oman,OMN,3,84611.406,9.917705806669726,15.479719759544158,98.885,1.115
Pakistan,PAK,1,3535.543,7.2996440306284045,19.34203509006585,81.18,12.225
Peru,PER,1,10941.468,9.0423217362141,17.34825688516729,73.344,26.209
Philippines,PHL,1,5633.134,8.29050168541801,18.56775172748108,87.18100000000001,7.079000000000001
Poland,POL,0,29205.867,10.07806627219644,17.467185243542414,86.95400000000001,10.812999999999999
Portugal,PRT,2,25921.92,10.310628085436692,16.15974034696688,60.259,35.18299999999999
Qatar,QAT,3,214524.031,11.1829742888424,14.930119875804028,99.189,0.746
Romania,ROU,0,18694.205,9.9094707930002,16.760741328844063,73.311,18.67
Saudi Arabia,SAU,3,96883.469,10.505228967597365,17.340773303771122,99.271,0.728
Singapore,SGP,3,180702.812,11.449502528180728,15.578929535841926,99.45500000000001,0.295
Slovenia,SVN,0,37361.555,10.447085008977057,14.566286347360728,56.972,23.658
South Africa,ZAF,1,21286.564,8.743243188487885,17.9745051663548,95.043,3.4480000000000004
Spain,ESP,0,33901.695,10.491820473426168,17.68484476497756,65.804,24.703
Sri Lanka,LKA,1,4819.207,8.362752157284405,16.955495068717568,76.75,22.925
Sweden,SWE,2,57509.895,10.949367513810651,16.17701859044017,27.79,45.839999999999996
Switzerland,CHE,2,38026.027,11.561470248597567,16.004023297198465,43.172,38.379
Thailand,THA,1,19825.027,8.902132443995916,18.087554385632327,92.59700000000001,4.231
Trinidad and Tobago,TTO,3,105991.461,9.741107398309184,14.226119745911143,99.989,0.011
Turkmenistan,TKM,1,49525.352,8.833129938796318,15.829671169655942,99.993,0.007
Ukraine,UKR,1,15875.617,8.524971922780152,17.449410273201465,70.005,7.903
United Arab Emirates,ARE,3,138027.125,10.821557269732644,16.215864986377532,90.953,2.476
United Kingdom,GBR,0,28015.789,10.883973606452413,18.051617104621588,73.542,14.756
United States,USA,0,76799.578,11.329413655325007,19.660290501273675,80.331,11.272
Uzbekistan,UZB,1,19129.293,8.059182670425113,17.409029716018086,95.41899999999998,4.581
